Car_Name,Year,Selling_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritz,2014,3.35,27000,Petrol,Dealer,Manual,0
sx4,2013,4.75,43000,Diesel,Dealer,Manual,0
ciaz,2017,7.25,6900,Petrol,Dealer,Manual,0
wagon r,2011,2.85,5200,Petrol,Dealer,Manual,0
swift,2014,4.6,42450,Diesel,Dealer,Manual,0
vitara brezza,2018,9.25,2071,Diesel,Dealer,Manual,0
ciaz,2015,6.75,18796,Petrol,Dealer,Manual,0
s cross,2015,6.5,33429,Diesel,Dealer,Manual,0
ciaz,2016,8.75,20273,Diesel,Dealer,Manual,0
ciaz,2015,7.45,42367,Diesel,Dealer,Manual,0
alto 800,2017,2.85,2135,Petrol,Dealer,Manual,0
ciaz,2015,6.85,51000,Diesel,Dealer,Manual,0
ciaz,2015,7.5,15000,Petrol,Dealer,Automatic,0
ertiga,2015,6.1,26000,Petrol,Dealer,Manual,0
dzire,2009,2.25,77427,Petrol,Dealer,Manual,0
ertiga,2016,7.75,43000,Diesel,Dealer,Manual,0
ertiga,2015,7.25,41678,Diesel,Dealer,Manual,0
ertiga,2016,7.75,43000,Diesel,Dealer,Manual,0
wagon r,2015,3.25,35500,CNG,Dealer,Manual,0
sx4,2010,2.65,41442,Petrol,Dealer,Manual,0
alto k10,2016,2.85,25000,Petrol,Dealer,Manual,0
ignis,2017,4.9,2400,Petrol,Dealer,Manual,0
sx4,2011,4.4,50000,Petrol,Dealer,Automatic,0
alto k10,2014,2.5,45280,Petrol,Dealer,Manual,0
wagon r,2013,2.9,56879,Petrol,Dealer,Manual,0
swift,2011,3.0,20000,Petrol,Dealer,Manual,0
swift,2013,4.15,55138,Petrol,Dealer,Manual,0
swift,2017,6.0,16200,Petrol,Individual,Manual,0
alto k10,2010,1.95,44542,Petrol,Dealer,Manual,0
ciaz,2015,7.45,45000,Diesel,Dealer,Manual,0
ritz,2012,3.1,51439,Diesel,Dealer,Manual,0
ritz,2011,2.35,54200,Petrol,Dealer,Manual,0
swift,2014,4.95,39000,Diesel,Dealer,Manual,0
ertiga,2014,6.0,45000,Diesel,Dealer,Manual,0
dzire,2014,5.5,45000,Diesel,Dealer,Manual,0
sx4,2011,2.95,49998,CNG,Dealer,Manual,0
dzire,2015,4.65,48767,Petrol,Dealer,Manual,0
800,2003,0.35,127000,Petrol,Individual,Manual,0
alto k10,2016,3.0,10079,Petrol,Dealer,Manual,0
sx4,2003,2.25,62000,Petrol,Dealer,Manual,0
baleno,2016,5.85,24524,Petrol,Dealer,Automatic,0
alto k10,2014,2.55,46706,Petrol,Dealer,Manual,0
sx4,2008,1.95,58000,Petrol,Dealer,Manual,0
dzire,2014,5.5,45780,Diesel,Dealer,Manual,0
omni,2012,1.25,50000,Petrol,Dealer,Manual,0
ciaz,2014,7.5,15000,Petrol,Dealer,Automatic,0
ritz,2013,2.65,64532,Petrol,Dealer,Manual,0
wagon r,2006,1.05,65000,Petrol,Dealer,Manual,0
ertiga,2015,5.8,25870,Petrol,Dealer,Manual,0
ciaz,2017,7.75,37000,Petrol,Dealer,Automatic,0
fortuner,2012,14.9,104707,Diesel,Dealer,Automatic,0
fortuner,2015,23.0,40000,Diesel,Dealer,Automatic,0
innova,2017,18.0,15000,Diesel,Dealer,Automatic,0
fortuner,2013,16.0,135000,Diesel,Individual,Automatic,0
innova,2005,2.75,90000,Petrol,Individual,Manual,0
corolla altis,2009,3.6,70000,Petrol,Dealer,Automatic,0
etios cross,2015,4.5,40534,Petrol,Dealer,Manual,0
corolla altis,2010,4.75,50000,Petrol,Dealer,Manual,0
etios g,2014,4.1,39485,Petrol,Dealer,Manual,1
fortuner,2014,19.99,41000,Diesel,Dealer,Automatic,0
corolla altis,2013,6.95,40001,Petrol,Dealer,Manual,0
etios cross,2015,4.5,40588,Petrol,Dealer,Manual,0
fortuner,2014,18.75,78000,Diesel,Dealer,Automatic,0
fortuner,2015,23.5,47000,Diesel,Dealer,Automatic,0
fortuner,2017,33.0,6000,Diesel,Dealer,Automatic,0
etios liva,2014,4.75,45000,Diesel,Dealer,Manual,0
innova,2017,19.75,11000,Petrol,Dealer,Automatic,0
fortuner,2010,9.25,59000,Diesel,Dealer,Manual,0
corolla altis,2011,4.35,88000,Petrol,Dealer,Manual,0
corolla altis,2016,14.25,12000,Petrol,Dealer,Manual,0
etios liva,2014,3.95,71000,Diesel,Dealer,Manual,0
corolla altis,2011,4.5,45000,Diesel,Dealer,Manual,0
corolla altis,2013,7.45,56001,Petrol,Dealer,Manual,0
etios liva,2011,2.65,43000,Petrol,Dealer,Manual,0
etios cross,2014,4.9,83000,Diesel,Dealer,Manual,0
etios g,2015,3.95,36000,Petrol,Dealer,Manual,0
corolla altis,2013,5.5,72000,Petrol,Dealer,Manual,0
corolla,2004,1.5,135154,Petrol,Dealer,Automatic,0
corolla altis,2010,5.25,80000,Petrol,Dealer,Automatic,0
fortuner,2012,14.5,89000,Diesel,Dealer,Automatic,0
corolla altis,2016,14.73,23000,Diesel,Dealer,Manual,0
etios gd,2015,4.75,40000,Diesel,Dealer,Manual,0
innova,2017,23.0,15000,Diesel,Dealer,Automatic,0
innova,2015,12.5,38000,Diesel,Dealer,Manual,0
innova,2005,3.49,197176,Diesel,Dealer,Manual,0
camry,2006,2.5,142000,Petrol,Individual,Automatic,3
land cruiser,2010,35.0,78000,Diesel,Dealer,Manual,0
corolla altis,2012,5.9,56000,Petrol,Dealer,Manual,0
etios liva,2013,3.45,47000,Petrol,Dealer,Manual,0
etios g,2014,4.75,40000,Petrol,Dealer,Manual,0
corolla altis,2009,3.8,62000,Petrol,Dealer,Manual,0
innova,2014,11.25,58242,Diesel,Dealer,Manual,0
innova,2005,3.51,75000,Petrol,Dealer,Manual,0
fortuner,2015,23.0,40000,Diesel,Dealer,Automatic,0
corolla altis,2008,4.0,89000,Petrol,Dealer,Automatic,0
corolla altis,2012,5.85,72000,Petrol,Dealer,Manual,0
innova,2016,20.75,29000,Diesel,Dealer,Automatic,0
corolla altis,2017,17.0,8700,Petrol,Dealer,Manual,0
corolla altis,2013,7.05,45000,Petrol,Dealer,Manual,0
fortuner,2010,9.65,50024,Diesel,Dealer,Manual,0
Royal Enfield Thunder 500,2016,1.75,3000,Petrol,Individual,Manual,0
UM Renegade Mojave,2017,1.7,1400,Petrol,Individual,Manual,0
KTM RC200,2017,1.65,4000,Petrol,Individual,Manual,0
Bajaj Dominar 400,2017,1.45,1200,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2017,1.35,4100,Petrol,Individual,Manual,0
KTM RC390,2015,1.35,21700,Petrol,Individual,Manual,0
Hyosung GT250R,2014,1.35,16500,Petrol,Individual,Manual,1
Royal Enfield Thunder 350,2013,1.25,15000,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2016,1.2,18000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2017,1.2,11000,Petrol,Individual,Manual,0
KTM RC200,2016,1.2,6000,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2016,1.15,8700,Petrol,Individual,Manual,0
KTM 390 Duke ,2014,1.15,7000,Petrol,Individual,Manual,0
Mahindra Mojo XT300,2016,1.15,35000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,1.15,17000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,1.11,17500,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2013,1.1,33000,Petrol,Individual,Manual,0
Royal Enfield Thunder 500,2015,1.1,14000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,1.1,26000,Petrol,Individual,Manual,0
Royal Enfield Thunder 500,2013,1.05,5400,Petrol,Individual,Manual,0
Bajaj Pulsar RS200,2016,1.05,5700,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2011,1.05,6900,Petrol,Individual,Manual,0
Royal Enfield Bullet 350,2016,1.05,6000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2013,1.0,46500,Petrol,Individual,Manual,0
Royal Enfield Classic 500,2012,0.95,11500,Petrol,Individual,Manual,0
Royal Enfield Classic 500,2009,0.9,40000,Petrol,Individual,Manual,0
Bajaj Avenger 220,2017,0.9,1300,Petrol,Individual,Manual,0
Bajaj Avenger 150,2016,0.75,7000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2017,0.8,3000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2017,0.78,5000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2017,0.75,11000,Petrol,Individual,Manual,0
Yamaha FZ 16,2015,0.75,18000,Petrol,Individual,Manual,0
Bajaj Avenger 220,2017,0.75,3500,Petrol,Individual,Manual,0
Bajaj Avenger 220,2016,0.72,500,Petrol,Individual,Manual,0
TVS Apache RTR 160,2017,0.65,11800,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2015,0.65,5000,Petrol,Individual,Manual,0
Honda CBR 150,2014,0.65,23500,Petrol,Individual,Manual,0
Hero Extreme,2013,0.65,16000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2016,0.6,15000,Petrol,Individual,Manual,0
Bajaj Avenger 220 dtsi,2015,0.6,16600,Petrol,Individual,Manual,0
Honda CBR 150,2013,0.6,32000,Petrol,Individual,Manual,0
Bajaj Avenger 150 street,2016,0.6,20000,Petrol,Individual,Manual,0
Yamaha FZ  v 2.0,2015,0.6,29000,Petrol,Individual,Manual,0
Yamaha FZ  v 2.0,2016,0.6,25000,Petrol,Individual,Manual,0
Bajaj Pulsar  NS 200,2014,0.6,25000,Petrol,Individual,Manual,0
TVS Apache RTR 160,2012,0.6,19000,Petrol,Individual,Manual,0
Hero Extreme,2014,0.55,15000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2015,0.55,58000,Petrol,Individual,Manual,0
Bajaj Pulsar 220 F,2010,0.52,45000,Petrol,Individual,Manual,0
Bajaj Pulsar 220 F,2016,0.51,24000,Petrol,Individual,Manual,0
TVS Apache RTR 180,2011,0.5,6000,Petrol,Individual,Manual,0
Hero Passion X pro,2016,0.5,31000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2012,0.5,13000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2013,0.5,45000,Petrol,Individual,Manual,0
Yamaha Fazer ,2014,0.5,8000,Petrol,Individual,Manual,0
Honda Activa 4G,2017,0.48,4300,Petrol,Individual,Automatic,0
TVS Sport ,2017,0.48,15000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2015,0.48,23000,Petrol,Individual,Manual,0
Honda Dream Yuga ,2017,0.48,8600,Petrol,Individual,Manual,0
Honda Activa 4G,2017,0.45,4000,Petrol,Individual,Automatic,0
Bajaj Avenger Street 220,2011,0.45,24000,Petrol,Individual,Manual,0
TVS Apache RTR 180,2014,0.45,23000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2012,0.45,14500,Petrol,Individual,Manual,0
Bajaj Avenger 220 dtsi,2010,0.45,27000,Petrol,Individual,Manual,0
Hero Splender iSmart,2016,0.45,14000,Petrol,Individual,Manual,0
Activa 3g,2016,0.45,500,Petrol,Individual,Automatic,0
Hero Passion Pro,2016,0.45,1000,Petrol,Individual,Manual,0
